Description,BDM ,Total,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,Sep-25,Aug-25,"Jul 2025 +Older",grouptype,groupuid
-SHRI VARSHA AGENCIES - VIJAYPUR,SUSPENCE A/C,             525.60,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             525.60,Detai,2541934124
-SHRI VISHNU MEDICO - KONDWA,SUSPENCE A/C,             500.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI VITTHAL PHARMA-SANGOLA-XX,SUSPENCE A/C,            1000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1000.00,Detai,2541934124
-SHRI VYANKATESH PHARMA- BASMAT,SUSPENCE A/C,            6070.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6070.00,Detai,2541934124
-SHRIHARI SURGICAL - PIMPLE GURAV,SUSPENCE A/C,            -378.00,            -378.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRIJI SALE - NAGPUR-XX,SUSPENCE A/C,           28340.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           28340.00,Detai,2541934124
-SHRIMAD RAJCHANDRA HOS - DHARAMPUR (OLD DIFF,SUSPENCE A/C,           40594.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           40594.00,Detai,2541934124
-SHRINATH PHARMA-KASHIMIRA - XX,SUSPENCE A/C,            4313.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4313.00,Detai,2541934124
-SHRINIWAS PHARMA - NANDED(RODE)-XX,SUSPENCE A/C,          144700.85,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,          144200.85,Detai,2541934124
-SHRIRAM MEDIHUB - NASHIK,SUSPENCE A/C,           50487.00,               0.00,               0.00,           50487.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRIRAM PHARMA - WADI (SALE),SUSPENCE A/C,          -67726.00,          -67726.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SIDDHI MEDICAL - MIRA ROAD-XX,SUSPENCE A/C,            5712.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5712.00,Detai,2541934124
-SIDDHI PHARMA - MANWATH -XX,SUSPENCE A/C,            2000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2000.00,Detai,2541934124
-SIDDHIVINAYAK (TENDER)- NAGPUR,SUSPENCE A/C,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,Detai,2541934124
-SIDDHIVINAYAK DIST-LATUR (PETKAR),SUSPENCE A/C,            3300.00,               0.00,               0.00,               0.00,             500.00,            1000.00,            1800.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SIDDHIVINAYAK PHARMA-MIRA ROAD-XX,SUSPENCE A/C,           33035.63,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1500.00,               0.00,               0.00,               0.00,           31535.63,Detai,2541934124
-SIDDHIVINAYAK TRADING - PALGHAR-XX,SUSPENCE A/C,           11314.60,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10814.60,Detai,2541934124
-SIDDHIVINAYK HEALTHCARE-NANDGAON-XX,SUSPENCE A/C,           56566.76,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           56566.76,Detai,2541934124
-SIDVIN PHARMA-AIROLI-XX,SUSPENCE A/C,          -46446.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          -46446.00,Detai,2541934124
-SIGMA HEALTHCARE - DOMBIVALI (NEW),SUSPENCE A/C,            1000.00,               0.00,               0.00,               0.00,             500.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SIGMA HEALTHCARE - DOMBIVALI (OLD),SUSPENCE A/C,          291792.38,               0.00,               0.00,               0.00,               0.00,               0.00,          127336.00,               0.00,               0.00,               0.00,               0.00,               0.00,          164456.38,Detai,2541934124
-SIND MEDICO-GONDIA-(AKUMS),SUSPENCE A/C,           11155.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           11155.00,Detai,2541934124
-SIND MEDICO-GONDIA-ELDER,SUSPENCE A/C,           14386.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           14386.00,Detai,2541934124
