Description,Total,Aug-26,Jul-26,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,"Sep 2025+Older",grouptype,groupuid
AMBIKA DISTRIBUTORS - KHADKI,           25051.00,           25051.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3449355511
AMBIKA PHARMA - BHAYANDER,          265184.00,           95553.00,           96337.00,           71194.00,            2100.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3690978611
AMEY PHARMA - KALYAN,          147676.00,           79794.00,           65021.00,               0.00,            2861.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2060775938
AMI AGENCY - GHATKOPAR,          137509.00,           19488.00,           82461.00,               0.00,           35560.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3443020570
AMIT AGENCIES-PARLI VAIJNATH-AKUMS-XX,          395397.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          395397.00,Group,2042098376
AMIT MEDICAL - AKLUJ,           11124.00,            9526.00,               0.00,            1598.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1935683898
AMRIT PHARMA - KALYAN,           35756.00,           20192.00,               0.00,           15564.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3112111643
AMRUT AGENCIES - YAVATMAL,           70365.00,          -12000.00,               0.00,           82365.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2848507628
AMRUT PHARMA - MANGALWEDHA,           64100.00,           28190.00,           35910.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2342639360
AMRUT PHARMA - SANGAMNER,           48969.00,            7728.00,           30408.00,            1399.00,            9434.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1968532193
AMSAL PHARMACEUTICAL - MUMBRA,          158447.00,          135636.00,           22811.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,283199048
AMULYA AGENCIES-LONAND -XX,           58813.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,               0.00,           58313.00,Group,3156285317
