Description,Total,Aug-26,Jul-26,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,"Sep 2025 +Older",grouptype,groupuid
XXXX RATHORE DIST - LOWER PAREL (TITANIC),           15294.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15294.00,Group,485734563
XXXX RATNATRAYA - DOMBIVALI,           41784.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           41784.00,Group,3462950150
XXXX RATNARAJ MARKETING - DAUND .,            3972.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3972.00,Group,836861336
XXXX RATNA SINDHU PHARMA [##]  .,           10589.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10589.00,Group,953803325
XXXX REBORN ENT - GHATKOPAR,           84567.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           84567.00,Group,4136488327
XXXX REGAL ENT - NASIK  -XX(CLOSED),          183435.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          183435.00,Group,1096938804
XXXX REHEBOTH AGENCY-ULWE (STOP),           43541.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           43541.00,Group,1511300260
XXXX REHMANI PHARMA-VASAI          .,            8327.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8327.00,Group,879504003
XXXX RELIABLE AGENCIES-NASIK-XX,           36875.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           36875.00,Group,1479006742
XXXX RELICARE PHARMA-THANE(TITANIC),           91006.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           91006.00,Group,31326831
XXXX RELIEF MEDICAL & SURGICAL-VAPI.,            7749.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7749.00,Group,686382648
XXXX RELIEF PHARMA - MALAD L/P  WIND UP,           25958.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           25958.00,Group,1708555875
XXXX RELIFE PHARMA - MALEGAON -XX,           22988.76,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           22988.76,Group,1793703374
XXXX REMEDIO HEALTHCARE - BELAPUR-TITANIC,            6022.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6022.00,Group,1026653345
XXXX RICHMOUNT PHARMA-ANDHERI,           72839.80,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           72839.80,Group,1416140244
XXXX RIDDHI SIDDHI -BORIVALI,            3150.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3150.00,Group,2659411590
XXXX RIDDHI SIDDHI -RAIPUR -TITANIC,           23625.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           23625.00,Group,912214121
XXXX RINZEN AGENCIES - AKOLA,           24296.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           24296.00,Group,1365843948
XXXX RISHABH AGENCIES - NAGPUR,           13946.81,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           13946.81,Group,2483923140
XXXX RK HEALTHCARE - THANE,           17763.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           17763.00,Group,1021242855
XXXX ROHAN PHARMA -MUM 02      .,            1765.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1765.00,Group,2766711777
XXXX ROHIT MEDICAL - SINNAR (XXX.,            7884.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7884.00,Group,2670157222
XXXX ROOP AGENCIES - KAMPTEE,            9251.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            9251.00,Group,2413155510
XXXX ROYAL PHARMA - MODNIMB,           92164.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           92164.00,Group,1764303523
XXXX RUBICON PHARMA -NANDED  XXX.,           34835.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           34835.00,Group,2689917533
XXXX RUSHABH PHARMA-CHINCHWAD (.,           28423.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           28423.00,Group,3548953215
XXXX S D INDIA - DOMBIVALI,            2500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1500.00,            1000.00,               0.00,               0.00,               0.00,Group,2071462686
XXXX S.B.PHARMA - KOPAR KHAIRANE-TITANIC,            7049.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7049.00,Group,4083706011
XXXX S.G.ENT - PANVEL BANK A/C CLOSED,           82975.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           82975.00,Group,2971211577
XXXX S.G.PHARMA - BHAYENDER,           10397.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10397.00,Group,811724952
XXXX S.K PHARMEC - NAGPUR,           22047.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           21547.00,Group,2041290402
XXXX S.K.PHARMA-PUNE (##)      .,           40803.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           40803.00,Group,2041883081
XXXX S.KANT AGENCIES - KHARGHAR,           10823.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10823.00,Group,4149374090
XXXX S.KUMAR & CO - BHAYANDER,            4502.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4502.00,Group,3953271294
XXXX S.M.ENTERPRISES - NASIK,           17834.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           17834.00,Group,3384200152
XXXX S.M.HAYAT HOSPITAL-MALAD,            5436.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5436.00,Group,1763373031
XXXX S.M.SHAH -KARKAMB         .,            6734.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6734.00,Group,3027113228
XXXX S.N.SURGI - KAMPTEE(TITANIC),           49296.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           49296.00,Group,2569687174
XXXX S.P.DIST - GARGOTI,           14450.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           14450.00,Group,4001345487
XXXX S.P.SALES - SANGLI        .,           15390.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15390.00,Group,1739209560
XXXX S.P.SHAH - PR STR,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1103064608
XXXX S.PARIKH PHARMA-DAHISAR-XR,           26041.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           26041.00,Group,1024606442
XXXX S.S.PHARMA - NASIK,           24901.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           24901.00,Group,1045977744
XXXX S.S.PHARMA - KALWA    A/C CLSOED     .,           25013.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           25013.00,Group,3701504124
XXXX S.V.ENTERPRISE - NALASOPARA.,            6628.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6628.00,Group,2100185334
XXXX SACHIN PHARMA-CHANDRAPUR,           27308.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           27308.00,Group,3013939865
XXXX SACHIN PHARMA - SHIRUR,           18464.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           18464.00,Group,3129878802
XXXX SACHIN MEDICAL - DEGLUR    .,           12786.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           12786.00,Group,2183647001
XXXX SACHIN ENTERPRISE-AKOLA    .,            4462.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4462.00,Group,3996847611
XXXX SADGURU AGENCY - PILIV  CL.,            6363.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6363.00,Group,1170894607
XXXX SADGURU MEDI - NAGPUR      .,           22892.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           22892.00,Group,2520774275
XXXX SADGURU DIST -SION,           52345.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           52345.00,Group,243376665
XXXX SAFE LIFE CORP - MULUND,           15316.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15316.00,Group,2095653640
XXXX SAFE HEALTH - MULUND,            6035.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6035.00,Group,2166217431
XXXX SAGAR PHARMA - GOREGAON-,           46137.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           46137.00,Group,2800327630
XXXX SAGAR DISTRIBUTORS-VITA,           44877.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           44877.00,Group,2650673958
XXXX SAHIB SHINGH (SALE) - MARINE LINES,           30490.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           30490.00,Group,3833136686
XXXX SAHYADRI MEDICAL - SANPADA,             673.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             673.00,Group,4281424785
XXXX SAHYADRI MEDICAL-AHMADPUR-XR,           41303.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           41303.00,Group,1573508947
XXXX SAHYOG PHARMA-AURANGABAD,            1200.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1200.00,Group,3325409560
XXXX SAI (JALOCHI) - BARAMATI (5%OP),           28965.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           28965.00,Group,4156736609
XXXX SAI AGENCIES-LOTE -XR,           12919.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           12919.00,Group,3400578813
XXXX SAI BALAJI PHARMA-PUSAD,            7500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7500.00,Group,3472971448
XXXX SAI ENTERPRISES - LANZA,           37347.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           37347.00,Group,152869469
XXXX SAI HOSPITAL - RATNAGIRI-LN   .,           50056.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           50056.00,Group,3762196383
XXXX SAI KRISHNA - TAKLI TITANIC,           26514.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           26514.00,Group,3851902758
XXXX SAI KAMAL-SILLOD,            2000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2000.00,Group,2042840810
XXXX SAI LEELA MEDICAL - WALUNJ,           16293.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           16293.00,Group,378188776
XXXX SAI MEDICALS - KOLHAPUR XX .,           29081.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           29081.00,Group,136293920
XXXX SAI MEDICO AND DISTRIBUTORS - SHIKRAPUR,            2850.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2850.00,Group,1281522229
XXXX SAI MEDICAL STORES-RATNAGIRI-LN,           12259.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           12259.00,Group,3630170483
XXXX SAI MANGAL DRUG - THANE  X.,           19431.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           19431.00,Group,963970107
XXXX SAI MEDICAL - SHENDURNI,           11405.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           11405.00,Group,472078545
XXXX SAI PHARMA-NASIK,           40247.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           40247.00,Group,1058284202
XXXX SAI PHARMA - NASIK(OZAR),            6716.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6716.00,Group,1764525348
XXXX SAI PHARMA-DEGLUR,            8826.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8826.00,Group,2001745453
XXXX SAI PHARMA-[##] GHATKOPAR .,           19908.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           19908.00,Group,2970685167
XXXX SAI SALES - MAHIM,          316960.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          316960.00,Group,3596946638
XXXX SAI SHARDHA MEDICAL AGENCY-CHIKHLI,           14373.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           14373.00,Group,1970659820
XXXX SAI SURGICALS - BEED       .,            6946.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6946.00,Group,527556903
XXXX SAI SHARDHA - CHIKHALI,           21477.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           21477.00,Group,807406177
XXXX SAI SURGICAL - KOPERKHAIRNA.,            1617.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1617.00,Group,855613227
XXXX SAI SAMARTH DIST-JALOCHI BARAMATI-CLOSE,           14057.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           14057.00,Group,3350917495
XXXX SAI VET PET  - KANDIVALI   .,           13354.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           13354.00,Group,1275684911
XXXX SAIDEEP -GHATKOPAR (X)    .,           15859.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15859.00,Group,1780775553
XXXX SAIF AGENCY - VASAI    OWN.,            5760.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5760.00,Group,4207536404
XXXX SAIFEE HOSPITAL-CHARNI ROAD,            8523.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8523.00,Group,3995672295
XXXX SAIRAJ DIST - KOLHAPUR (XX.,            1280.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1280.00,Group,3934561662
XXXX SAIRAJ AGENCY - PANCHVATI,           57342.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           57342.00,Group,3693304140
XXXX SAKARIA (MAHARASHTRA)-KALACHOWKI-XX,           14890.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           14890.00,Group,1391824571
XXXX SAKSHI ENTERPRISES-SEWREE  .,           23011.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           23011.00,Group,3367796225
XXXX SAKSHI ENT - PAREL            .,           10090.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10090.00,Group,931897973
XXXX SALECHA PHARMA - KAMATIPURA   .,            6142.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6142.00,Group,671043893
XXXX SAMAH PHARMA-BHOSARI-SHOP CLOSE,           15227.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15227.00,Group,1864801544
XXXX SAMARTH PHARMA - SANGLI,           32448.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           32448.00,Group,2407792855
XXXX SAMARTH PHARMA MEDICAL- XX-C/B,          293042.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          293042.00,Group,2090384034
XXXX SAMARTH MEDICAL - JATH        .,            8736.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8736.00,Group,2848553434
XXXX SAMRAT HEALTHCARE - BHAYANDER (XX TITAN,            7840.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7840.00,Group,1566103539
XXXX SAMRUDDHI PHARMA - NAGPUR(KATOL),            3497.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3497.00,Group,965416351
XXXX SANDEEP MEDICAL AGENCIES-MALEGAON-XR,            5778.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5778.00,Group,2941134985
XXXX SANDEEP MEDICAL - INDAPUR     .,            1613.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1613.00,Group,2999663471
XXXX SANGEWAR - LOHA-TITANIC,           82456.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           82456.00,Group,1057713862
XXXX SANJAY AGENCY - KANHAN,           35949.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           35949.00,Group,705845900
XXXX SANJEEVANI MEDICL CEN.NUR.HOME.ANTOP HI,            9744.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            9744.00,Group,1961272512
XXXX SANJIVANI MEDICAL AGENCIES,            8400.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8400.00,Group,3535654868
XXXX SANJIVANI DISTRIBUTORS - GOREG.,            1538.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1538.00,Group,3846569665
XXXX SANJIVANI (DAONIL) - AHILYANAGAR,            6380.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6380.00,Group,1554541137
XXXX SANJIVAN MEDICALS - DANWAD.,            4008.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4008.00,Group,1723707179
XXXX SANJIVANI AGENCIES - AHILYANAGAR,           19951.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           19951.00,Group,1813149501
XXXX SANK PHARMACEUTICALS-WARDHA-XX,           24466.82,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           24466.82,Group,3925926697
XXXX SANKET - AURANGABAD,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1937798437
XXXX SANTACRUZ MEDICAL CENTRE-SANTACRUZ,           21950.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           21950.00,Group,1735867239
XXXX SARASWATI MEDICAL - MALEGAON,            8292.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8292.00,Group,3797933993
XXXX SARTHAK ENT-FURSUNGI(PUNE)-XR,           14112.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           14112.00,Group,3157106783
XXXX SATGURU AGENCY-DHULE-XR,           25164.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           25164.00,Group,4003444197
XXXX SATISH TRADERS.-GOA   CASH        .,             810.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             810.00,Group,1701341740
XXXX SATYA SURGICAL - NAGPUR,            -300.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            -300.00,Group,4108636286
XXXX SATYAM ENT - VIRAR,           22135.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           22135.00,Group,2952836503
XXXX SATYAM AGENCIES - KARAD    .,            4053.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4053.00,Group,2372993099
XXXX SATYAM SALES - DOMBIVALI,           90157.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           90157.00,Group,1123523623
XXXX SAVITRI ENTERPRISES-GHATKOPAR-TITANIC,           67602.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           67602.00,Group,3181590290
XXXX SAWAI SURGICALS - SASWAD -TITANIC,           39000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           39000.00,Group,714369399
XXXX SCOTT LIFE - AURANGABAD,           12880.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           12880.00,Group,971264180
XXXX SEVA MARKETING-KANDIVALI [X.,           20261.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           20261.00,Group,2529912275
XXXX SEVA MEDICAL - NIPANI,            2438.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2438.00,Group,2118506033
XXXX SEVA AGENCIES-SHRIRAMPUR,           50787.59,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,               0.00,           50287.59,Group,455250013
XXXX SEVANTILAL KANTILAL           .,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2368584478
XXXX SHAH MEDICAL (NEW) - J.J.-PRINCESS ST.,           22419.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           22419.00,Group,3214789444
XXXX SHAH MEDICAL - MODNIMB -XX,            3431.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3431.00,Group,1380583396
XXXX SHAH MEDICAL (OLD) - J.J,           13971.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           13971.00,Group,1522916779
XXXX SHAH (MEDICO) - GHATKOPAR,           41242.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           41242.00,Group,1953495942
XXXX SHAHEEN CHARITABLE - NANDED,            7000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7000.00,Group,3479930293
XXXX SHAKTI DRUG - DHULE,           -9069.00,               0.00,               0.00,               0.00,               0.00,               0.00,           -9069.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2061242036
XXXX SHALINI ENTERPRSISE - AIROL.,           35212.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           35212.00,Group,3472178454
XXXX SHANTI MEDICAL - KADEGAON .,           17371.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           17371.00,Group,450423720
XXXX SHANTI KRUPA - DAHANU      .,           24220.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           24220.00,Group,2344894166
XXXX SHANTAI SWASTA AUSHADI SEVA-LONAND-XR,           46480.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           46480.00,Group,1267164287
XXXX SHASTRI PHARMA - PARBHANI,            5694.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5694.00,Group,2958421450
XXXX SHEETAL MEDICAL - J.J         .,           62760.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           62760.00,Group,3124235413
